datetime,streamflow_m^3/s
1979-01-01,0.0
1979-01-02,11.394569
1979-01-03,22.051657
1979-01-04,24.140938
1979-01-05,19.72075
1979-01-06,16.17166
1979-01-07,15.681433
1979-01-08,15.212433
1979-01-09,14.725852
1979-01-10,14.242895
1979-01-11,13.779951
1979-01-12,13.32381
1979-01-13,13.347106
1979-01-14,12.933402
1979-01-15,13.475955
1979-01-16,12.744565
1979-01-17,11.669681
1979-01-18,11.247558
1979-01-19,10.841747
1979-01-20,10.487229
1979-01-21,10.257066
1979-01-22,10.052438
1979-01-23,9.911801
1979-01-24,10.108127
1979-01-25,9.928474
1979-01-26,9.511202
1979-01-27,17.631063
1979-01-28,15.5591345
1979-01-29,11.994344
1979-01-30,35.683376
1979-01-31,29.05808
1979-02-01,15.161309
1979-02-02,18.182966
1979-02-03,16.114067
1979-02-04,10.151361
1979-02-05,9.419519
1979-02-06,10.836935
1979-02-07,9.135766
1979-02-08,7.4642863
1979-02-09,7.214143
1979-02-10,9.914444
1979-02-11,8.893997
1979-02-12,6.9663734
1979-02-13,6.990459
1979-02-14,9.12143
1979-02-15,8.559869
1979-02-16,6.6118927
1979-02-17,6.491127
1979-02-18,6.324128
1979-02-19,7.326675
1979-02-20,8.16342
1979-02-21,6.723923
1979-02-22,14.258506
1979-02-23,14.011011
1979-02-24,6.8450837
1979-02-25,14.895265
1979-02-26,18.118689
1979-02-27,11.809789
1979-02-28,8.281817
1979-03-01,5.868103
1979-03-02,23.256165
1979-03-03,38.31851
1979-03-04,25.224148
1979-03-05,13.045899
1979-03-06,12.3725605
1979-03-07,14.320883
1979-03-08,35.106636
1979-03-09,40.146954
1979-03-10,60.881252
1979-03-11,71.35459
1979-03-12,46.69436
1979-03-13,30.982405
1979-03-14,48.944702
1979-03-15,43.281555
1979-03-16,57.936737
1979-03-17,64.28622
1979-03-18,50.113605
1979-03-19,53.594448
1979-03-20,43.73775
1979-03-21,46.999607
1979-03-22,54.400726
1979-03-23,51.377224
1979-03-24,41.74025
1979-03-25,54.45689
1979-03-26,56.2748
1979-03-27,80.27795
1979-03-28,77.11143
1979-03-29,62.391468
1979-03-30,87.29562
1979-03-31,91.23421
1979-04-01,67.95975
1979-04-02,56.019363
1979-04-03,71.37447
1979-04-04,70.11274
1979-04-05,63.408634
1979-04-06,78.29672
1979-04-07,78.111786
1979-04-08,62.00701
1979-04-09,54.625412
1979-04-10,77.853325
1979-04-11,75.17554
1979-04-12,68.69186
1979-04-13,71.460556
1979-04-14,70.35792
1979-04-15,90.48203
1979-04-16,89.46713
1979-04-17,107.34784
1979-04-18,139.28574
1979-04-19,222.24709
1979-04-20,177.0612
1979-04-21,95.54227
1979-04-22,75.36618
1979-04-23,98.744514
1979-04-24,108.789856
1979-04-25,71.635315
1979-04-26,55.04684
1979-04-27,67.72527
1979-04-28,66.25528
1979-04-29,65.12349
1979-04-30,63.59426
1979-05-01,67.38554
1979-05-02,67.13455
1979-05-03,74.238716
1979-05-04,81.174576
1979-05-05,91.577675
1979-05-06,65.67579
1979-05-07,50.126976
1979-05-08,42.090897
1979-05-09,56.796215
1979-05-10,54.730255
1979-05-11,49.78657
1979-05-12,59.46276
1979-05-13,48.71924
1979-05-14,50.361362
1979-05-15,44.68159
1979-05-16,43.651432
1979-05-17,43.452995
1979-05-18,41.93005
1979-05-19,42.264122
1979-05-20,49.93695
1979-05-21,64.51051
1979-05-22,69.33645
1979-05-23,93.929276
1979-05-24,106.93313
1979-05-25,101.666725
1979-05-26,103.10773
1979-05-27,89.88173
1979-05-28,104.24365
1979-05-29,267.30228
1979-05-30,179.60545
1979-05-31,78.22176
1979-06-01,87.21517
1979-06-02,78.52946
1979-06-03,54.630558
1979-06-04,48.170612
1979-06-05,50.079086
1979-06-06,69.439415
1979-06-07,60.68256
1979-06-08,84.6459
1979-06-09,92.91501
1979-06-10,78.3771
1979-06-11,60.72055
1979-06-12,47.805195
1979-06-13,66.419395
1979-06-14,85.282486
1979-06-15,92.4543
1979-06-16,313.3852
1979-06-17,226.67393
1979-06-18,110.86943
1979-06-19,90.12157
1979-06-20,68.446625
1979-06-21,57.506622
1979-06-22,63.568226
1979-06-23,74.00549
1979-06-24,73.26657
1979-06-25,54.306564
1979-06-26,83.20364
1979-06-27,73.55216
1979-06-28,43.611958
1979-06-29,53.724285
1979-06-30,52.327274
1979-07-01,40.20588
1979-07-02,41.412594
1979-07-03,46.7959
1979-07-04,43.050705
1979-07-05,41.048138
1979-07-06,77.18427
1979-07-07,60.693348
1979-07-08,47.661747
1979-07-09,60.19329
1979-07-10,48.98403
1979-07-11,39.428722
1979-07-12,40.80127
1979-07-13,46.197483
1979-07-14,82.938675
1979-07-15,94.299225
1979-07-16,84.48247
1979-07-17,94.335396
1979-07-18,82.65172
1979-07-19,82.07491
1979-07-20,80.71503
1979-07-21,73.17114
1979-07-22,68.74197
1979-07-23,63.776306
1979-07-24,58.40916
1979-07-25,51.83594
1979-07-26,52.607235
1979-07-27,49.044346
1979-07-28,42.413406
1979-07-29,58.358948
1979-07-30,51.64456
1979-07-31,38.598335
1979-08-01,34.451298
1979-08-02,50.858505
1979-08-03,53.069324
1979-08-04,66.390434
1979-08-05,49.291462
1979-08-06,39.06095
1979-08-07,48.35021
1979-08-08,41.94082
1979-08-09,32.96964
1979-08-10,45.627213
1979-08-11,40.343533
1979-08-12,30.32534
1979-08-13,31.648851
1979-08-14,37.26293
1979-08-15,56.249207
1979-08-16,50.050007
1979-08-17,31.676678
1979-08-18,38.937717
1979-08-19,37.243855
1979-08-20,38.248634
1979-08-21,37.97446
1979-08-22,35.50183
1979-08-23,38.58945
1979-08-24,37.349197
1979-08-25,61.30071
1979-08-26,57.890747
1979-08-27,50.127415
1979-08-28,63.970837
1979-08-29,60.74328
1979-08-30,48.429333
1979-08-31,59.467697
1979-09-01,52.655533
1979-09-02,40.36723
1979-09-03,39.582924
1979-09-04,36.91378
1979-09-05,41.14428
1979-09-06,49.073067
1979-09-07,62.539074
1979-09-08,48.274075
1979-09-09,33.100437
1979-09-10,34.16947
1979-09-11,32.261856
1979-09-12,37.955532
1979-09-13,34.111225
1979-09-14,28.543081
1979-09-15,29.420238
1979-09-16,28.127026
1979-09-17,26.92198
1979-09-18,24.678148
1979-09-19,25.54969
1979-09-20,33.622456
1979-09-21,30.805386
1979-09-22,24.94926
1979-09-23,22.848131
1979-09-24,20.71381
1979-09-25,26.76706
1979-09-26,25.589775
1979-09-27,19.444126
1979-09-28,18.64038
1979-09-29,18.318857
1979-09-30,32.85347
1979-10-01,27.713032
1979-10-02,25.456694
1979-10-03,23.115892
1979-10-04,19.848145
1979-10-05,23.325659
1979-10-06,23.021894
1979-10-07,22.55173
1979-10-08,47.23036
1979-10-09,36.57084
1979-10-10,17.965733
1979-10-11,20.07765
1979-10-12,30.611717
1979-10-13,31.892225
1979-10-14,23.790325
1979-10-15,22.40793
1979-10-16,23.737797
1979-10-17,47.16737
1979-10-18,63.841965
1979-10-19,43.027927
1979-10-20,30.240742
