datetime,streamflow_m^3/s
1979-01-01,0.0
1979-01-02,20.963785
1979-01-03,37.31364
1979-01-04,26.310968
1979-01-05,25.570387
1979-01-06,25.015167
1979-01-07,24.503172
1979-01-08,23.980043
1979-01-09,23.406675
1979-01-10,22.821524
1979-01-11,22.221678
1979-01-12,21.743324
1979-01-13,21.257542
1979-01-14,20.785337
1979-01-15,20.745073
1979-01-16,20.295017
1979-01-17,19.323502
1979-01-18,18.777292
1979-01-19,18.236225
1979-01-20,17.706625
1979-01-21,17.188929
1979-01-22,16.733667
1979-01-23,16.422344
1979-01-24,19.259079
1979-01-25,23.059935
1979-01-26,17.51906
1979-01-27,24.994896
1979-01-28,24.107557
1979-01-29,26.097761
1979-01-30,44.28312
1979-01-31,38.35402
1979-02-01,14.869609
1979-02-02,29.013592
1979-02-03,40.44082
1979-02-04,14.5332985
1979-02-05,12.728204
1979-02-06,12.594048
1979-02-07,12.433893
1979-02-08,12.283659
1979-02-09,12.128613
1979-02-10,20.068699
1979-02-11,15.794845
1979-02-12,21.70914
1979-02-13,30.561975
1979-02-14,12.1940365
1979-02-15,15.350179
1979-02-16,13.559127
1979-02-17,14.072977
1979-02-18,20.363089
1979-02-19,10.685824
1979-02-20,17.433195
1979-02-21,13.346734
1979-02-22,10.255867
1979-02-23,18.966648
1979-02-24,40.98131
1979-02-25,27.926744
1979-02-26,20.69881
1979-02-27,25.539785
1979-02-28,32.624958
1979-03-01,38.01913
1979-03-02,22.339155
1979-03-03,40.192398
1979-03-04,41.85422
1979-03-05,23.659964
1979-03-06,66.41353
1979-03-07,57.91028
1979-03-08,35.25542
1979-03-09,37.134487
1979-03-10,32.46045
1979-03-11,57.472527
1979-03-12,53.737827
1979-03-13,42.93732
1979-03-14,62.956745
1979-03-15,76.17573
1979-03-16,42.71187
1979-03-17,26.662184
1979-03-18,31.470764
1979-03-19,104.68616
1979-03-20,107.35893
1979-03-21,93.454475
1979-03-22,188.16098
1979-03-23,129.96245
1979-03-24,34.928364
1979-03-25,59.71608
1979-03-26,99.951515
1979-03-27,82.16635
1979-03-28,55.526917
1979-03-29,82.211235
1979-03-30,65.1052
1979-03-31,56.29372
1979-04-01,113.80936
1979-04-02,110.86837
1979-04-03,88.880295
1979-04-04,97.06156
1979-04-05,138.98576
1979-04-06,128.329
1979-04-07,114.52778
1979-04-08,189.36151
1979-04-09,174.7756
1979-04-10,97.73627
1979-04-11,143.3127
1979-04-12,183.04749
1979-04-13,153.72278
1979-04-14,150.46373
1979-04-15,199.98491
1979-04-16,255.10318
1979-04-17,213.18997
1979-04-18,324.328
1979-04-19,473.6144
1979-04-20,428.34802
1979-04-21,158.83832
1979-04-22,179.5163
1979-04-23,203.45107
1979-04-24,208.23979
1979-04-25,185.04076
1979-04-26,140.56438
1979-04-27,151.46512
1979-04-28,153.87589
1979-04-29,156.92157
1979-04-30,102.12497
1979-05-01,105.38993
1979-05-02,102.94178
1979-05-03,130.4731
1979-05-04,140.04317
1979-05-05,79.351944
1979-05-06,89.10844
1979-05-07,126.74554
1979-05-08,105.635445
1979-05-09,127.2606
1979-05-10,125.93207
1979-05-11,109.09337
1979-05-12,129.23259
1979-05-13,100.297874
1979-05-14,133.09264
1979-05-15,114.75106
1979-05-16,62.08042
1979-05-17,69.072235
1979-05-18,77.54936
1979-05-19,66.35267
1979-05-20,73.74848
1979-05-21,114.6223
1979-05-22,164.008
1979-05-23,169.47571
1979-05-24,116.86183
1979-05-25,228.57634
1979-05-26,427.7136
1979-05-27,345.84415
1979-05-28,166.23344
1979-05-29,213.9506
1979-05-30,199.39688
1979-05-31,164.74312
1979-06-01,276.30664
1979-06-02,225.38153
1979-06-03,113.75582
1979-06-04,99.38457
1979-06-05,103.68045
1979-06-06,149.82451
1979-06-07,149.05185
1979-06-08,142.23323
1979-06-09,216.11
1979-06-10,135.35497
1979-06-11,144.20642
1979-06-12,112.264786
1979-06-13,110.58931
1979-06-14,113.879395
1979-06-15,300.07944
1979-06-16,298.18805
1979-06-17,163.43973
1979-06-18,158.0238
1979-06-19,166.63992
1979-06-20,106.4815
1979-06-21,97.09189
1979-06-22,90.66025
1979-06-23,93.95783
1979-06-24,109.68368
1979-06-25,105.57448
1979-06-26,136.20438
1979-06-27,132.1222
1979-06-28,122.60865
1979-06-29,128.45752
1979-06-30,114.84509
1979-07-01,127.033356
1979-07-02,132.4666
1979-07-03,193.0124
1979-07-04,206.18657
1979-07-05,128.4003
1979-07-06,166.04688
1979-07-07,176.06212
1979-07-08,123.51809
1979-07-09,107.23337
1979-07-10,101.464
1979-07-11,138.67265
1979-07-12,125.49772
1979-07-13,85.07578
1979-07-14,84.74119
1979-07-15,73.19392
1979-07-16,112.36129
1979-07-17,146.08055
1979-07-18,144.24469
1979-07-19,123.36571
1979-07-20,97.74495
1979-07-21,107.61758
1979-07-22,199.67899
1979-07-23,170.78508
1979-07-24,105.732285
1979-07-25,102.20532
1979-07-26,86.163345
1979-07-27,102.699844
1979-07-28,91.88413
1979-07-29,77.42218
1979-07-30,69.79832
1979-07-31,74.993706
1979-08-01,76.80321
1979-08-02,108.739105
1979-08-03,105.147575
1979-08-04,70.699936
1979-08-05,58.40965
1979-08-06,59.712658
1979-08-07,71.02277
1979-08-08,79.70845
1979-08-09,72.1648
