,RP_2,RP_5,RP_10,RP_25,RP_50,RP_100
9021733,25.0,8.0,5.0,0.0,1.0,0.0
9021738,31.0,5.0,1.0,1.0,0.0,1.0
9021769,45.0,2.0,1.0,0.0,3.0,1.0
9021779,22.0,0.0,6.0,2.0,1.0,1.0
9021780,35.0,1.0,2.0,1.0,0.0,0.0
9021783,26.0,7.0,2.0,3.0,0.0,0.0
9021808,61.0,7.0,5.0,1.0,1.0,2.0
9021830,76.0,21.0,12.0,5.0,6.0,10.0
9021843,5.0,1.0,0.0,0.0,0.0,1.0
9021881,19.0,8.0,3.0,0.0,0.0,0.0
9021901,23.0,9.0,4.0,1.0,0.0,0.0
9021902,23.0,2.0,1.0,0.0,0.0,1.0
9021913,5.0,0.0,2.0,1.0,0.0,15.0
9021914,8.0,1.0,0.0,0.0,0.0,1.0
9021926,1.0,0.0,1.0,0.0,0.0,1.0
9021927,3.0,0.0,0.0,0.0,0.0,3.0
9021956,22.0,6.0,5.0,0.0,0.0,1.0
9021963,5.0,2.0,1.0,0.0,0.0,1.0
9021970,7.0,1.0,0.0,0.0,0.0,1.0
9022001,16.0,7.0,4.0,0.0,0.0,0.0
9022006,15.0,2.0,1.0,0.0,1.0,0.0
9022009,14.0,2.0,9.0,0.0,0.0,0.0
9022024,28.0,3.0,2.0,0.0,0.0,0.0
9022030,2.0,1.0,1.0,0.0,0.0,1.0
9022031,13.0,4.0,2.0,0.0,0.0,1.0
9022038,25.0,1.0,5.0,1.0,0.0,0.0
9022041,8.0,1.0,0.0,1.0,1.0,1.0
9022043,92.0,26.0,10.0,3.0,0.0,2.0
9022046,13.0,0.0,3.0,0.0,0.0,0.0
9022047,28.0,3.0,1.0,1.0,0.0,0.0
9022055,41.0,7.0,1.0,1.0,2.0,0.0
9022064,14.0,1.0,0.0,0.0,1.0,0.0
9022068,42.0,13.0,3.0,2.0,3.0,6.0
9022069,21.0,6.0,3.0,2.0,3.0,4.0
9022076,10.0,1.0,0.0,0.0,1.0,0.0
9022078,29.0,3.0,1.0,1.0,0.0,0.0
9022081,14.0,0.0,0.0,0.0,1.0,0.0
9022114,19.0,1.0,1.0,0.0,0.0,1.0
9022128,5.0,0.0,1.0,0.0,0.0,0.0
9022137,1.0,0.0,0.0,1.0,0.0,2.0
9022139,3.0,4.0,0.0,0.0,0.0,3.0
9022167,41.0,2.0,0.0,0.0,0.0,0.0
9022170,26.0,13.0,5.0,2.0,0.0,16.0
9022173,18.0,1.0,0.0,0.0,0.0,1.0
9022185,38.0,10.0,7.0,2.0,4.0,7.0
9022227,12.0,7.0,1.0,4.0,3.0,4.0
9022233,7.0,0.0,2.0,1.0,1.0,1.0
9022258,15.0,4.0,3.0,0.0,0.0,0.0
9022273,41.0,5.0,5.0,0.0,0.0,7.0
9022275,21.0,2.0,1.0,1.0,0.0,1.0
9022281,23.0,3.0,1.0,0.0,1.0,0.0
9022282,23.0,1.0,2.0,0.0,1.0,0.0
9022290,15.0,4.0,2.0,0.0,0.0,0.0
9022298,13.0,3.0,1.0,2.0,1.0,3.0
9022304,13.0,1.0,1.0,0.0,1.0,14.0
9022305,22.0,1.0,4.0,0.0,1.0,3.0
9022306,19.0,1.0,2.0,1.0,0.0,0.0
9022308,31.0,1.0,5.0,2.0,3.0,5.0
9022324,21.0,8.0,5.0,1.0,2.0,2.0
9022327,11.0,12.0,6.0,1.0,1.0,0.0
9022328,7.0,0.0,0.0,0.0,1.0,0.0
9022336,8.0,5.0,0.0,0.0,0.0,0.0
9022366,27.0,10.0,6.0,2.0,4.0,16.0
9022372,42.0,1.0,1.0,0.0,0.0,0.0
9022382,54.0,14.0,6.0,6.0,5.0,14.0
9022383,61.0,20.0,8.0,6.0,2.0,9.0
9022410,25.0,1.0,2.0,0.0,0.0,0.0
9022414,14.0,3.0,6.0,2.0,3.0,5.0
9022426,14.0,2.0,0.0,0.0,0.0,0.0
9022427,16.0,2.0,0.0,0.0,0.0,0.0
9022468,19.0,2.0,0.0,0.0,0.0,0.0
9022469,19.0,2.0,1.0,1.0,0.0,0.0
9022479,25.0,3.0,2.0,0.0,0.0,0.0
9022480,85.0,29.0,12.0,5.0,3.0,9.0
9022510,17.0,2.0,1.0,0.0,0.0,0.0
9022511,20.0,2.0,1.0,1.0,0.0,0.0
9022512,30.0,2.0,0.0,0.0,0.0,0.0
9022517,11.0,3.0,1.0,2.0,2.0,14.0
9022534,61.0,6.0,5.0,0.0,0.0,1.0
9022535,16.0,2.0,0.0,0.0,0.0,0.0
9022551,24.0,8.0,3.0,1.0,3.0,1.0
9022552,40.0,6.0,0.0,0.0,0.0,0.0
9022557,21.0,6.0,3.0,0.0,1.0,0.0
9022565,25.0,5.0,2.0,0.0,1.0,0.0
9022569,22.0,6.0,1.0,3.0,2.0,0.0
9022581,16.0,1.0,1.0,0.0,0.0,0.0
9022593,21.0,2.0,4.0,2.0,0.0,0.0
9022613,18.0,3.0,1.0,0.0,0.0,0.0
9022626,21.0,3.0,3.0,2.0,0.0,0.0
9022665,25.0,5.0,5.0,3.0,0.0,1.0
9022666,29.0,6.0,0.0,1.0,0.0,0.0
9022672,15.0,4.0,9.0,2.0,0.0,0.0
9022675,37.0,1.0,0.0,0.0,0.0,0.0
9022676,22.0,2.0,0.0,0.0,0.0,0.0
9022690,27.0,3.0,5.0,0.0,0.0,8.0
9022694,12.0,3.0,2.0,0.0,0.0,0.0
9022698,48.0,5.0,7.0,3.0,1.0,14.0
9022703,11.0,3.0,2.0,0.0,0.0,0.0
9022710,16.0,1.0,4.0,1.0,0.0,0.0
9022714,24.0,7.0,3.0,3.0,3.0,0.0
9022715,14.0,2.0,4.0,1.0,3.0,2.0
9022716,38.0,6.0,3.0,0.0,0.0,1.0
9022718,13.0,3.0,2.0,0.0,0.0,0.0
9022728,13.0,3.0,2.0,0.0,0.0,0.0
9022730,16.0,2.0,0.0,1.0,0.0,0.0
9022731,67.0,3.0,15.0,2.0,0.0,1.0
9022732,21.0,2.0,1.0,0.0,0.0,0.0
9022733,34.0,3.0,2.0,1.0,0.0,1.0
9022742,44.0,9.0,6.0,4.0,4.0,8.0
9022747,30.0,6.0,2.0,3.0,3.0,0.0
9022755,29.0,4.0,3.0,0.0,0.0,0.0
9022772,23.0,8.0,4.0,1.0,2.0,5.0
9022775,15.0,5.0,2.0,1.0,0.0,0.0
9022776,30.0,5.0,4.0,2.0,1.0,0.0
9022777,94.0,11.0,7.0,0.0,0.0,2.0
9022778,10.0,4.0,2.0,0.0,0.0,0.0
9022787,50.0,9.0,6.0,3.0,3.0,1.0
9022789,32.0,16.0,9.0,4.0,4.0,9.0
9022790,8.0,0.0,2.0,0.0,0.0,0.0
9022791,8.0,3.0,2.0,0.0,0.0,0.0
9022801,59.0,20.0,11.0,9.0,4.0,9.0
9022808,28.0,9.0,11.0,3.0,2.0,11.0
9022809,67.0,17.0,4.0,1.0,0.0,2.0
9022819,8.0,4.0,1.0,0.0,0.0,0.0
9022821,36.0,11.0,12.0,1.0,3.0,0.0
9022832,44.0,5.0,3.0,0.0,0.0,1.0
9022833,21.0,7.0,6.0,4.0,2.0,6.0
9022838,20.0,1.0,1.0,0.0,0.0,0.0
9022843,19.0,2.0,1.0,1.0,0.0,0.0
9022847,5.0,1.0,0.0,0.0,0.0,1.0
9022856,64.0,20.0,10.0,8.0,3.0,12.0
9022859,23.0,5.0,3.0,2.0,0.0,0.0
9022861,21.0,4.0,5.0,2.0,1.0,8.0
9022868,36.0,5.0,4.0,0.0,0.0,0.0
9022869,34.0,12.0,9.0,2.0,1.0,0.0
9022876,22.0,2.0,0.0,0.0,0.0,0.0
9022897,45.0,7.0,1.0,0.0,1.0,12.0
9022900,5.0,1.0,0.0,1.0,0.0,0.0
9022907,15.0,3.0,3.0,0.0,0.0,1.0
9022910,86.0,9.0,4.0,0.0,1.0,1.0
9022926,21.0,4.0,2.0,0.0,0.0,1.0
9022935,14.0,5.0,1.0,0.0,0.0,0.0
9022936,23.0,3.0,1.0,1.0,1.0,1.0
9022937,59.0,8.0,8.0,1.0,3.0,1.0
9022945,22.0,5.0,3.0,3.0,3.0,4.0
9022946,56.0,6.0,4.0,3.0,0.0,3.0
9022951,42.0,2.0,1.0,1.0,0.0,0.0
9022965,25.0,2.0,1.0,0.0,0.0,0.0
9022970,18.0,3.0,0.0,1.0,0.0,0.0
9022977,21.0,9.0,1.0,0.0,0.0,0.0
9022981,12.0,0.0,2.0,0.0,0.0,0.0
9022986,25.0,11.0,1.0,4.0,0.0,1.0
9022991,66.0,9.0,7.0,3.0,3.0,15.0
9023002,11.0,4.0,1.0,0.0,0.0,0.0
9023004,78.0,14.0,3.0,1.0,0.0,1.0
9023017,19.0,3.0,11.0,6.0,1.0,0.0
9023025,57.0,7.0,4.0,1.0,0.0,0.0
9023026,7.0,0.0,2.0,0.0,0.0,0.0
9023037,32.0,4.0,2.0,1.0,0.0,1.0
9023038,50.0,4.0,2.0,0.0,1.0,1.0
9023065,46.0,4.0,3.0,0.0,1.0,0.0
9023068,5.0,4.0,5.0,3.0,0.0,0.0
9023072,36.0,4.0,1.0,0.0,0.0,0.0
9023082,43.0,8.0,4.0,4.0,1.0,13.0
9023083,77.0,6.0,7.0,4.0,1.0,4.0
9023089,15.0,1.0,1.0,0.0,0.0,0.0
9023092,51.0,9.0,1.0,0.0,1.0,0.0
9023095,22.0,1.0,1.0,0.0,0.0,0.0
9023099,16.0,1.0,3.0,2.0,2.0,2.0
9023105,30.0,4.0,4.0,1.0,3.0,8.0
9023111,13.0,1.0,1.0,0.0,0.0,1.0
9023119,18.0,2.0,1.0,1.0,0.0,0.0
9023122,23.0,1.0,2.0,0.0,0.0,0.0
9023123,24.0,5.0,3.0,0.0,1.0,1.0
9023137,32.0,8.0,2.0,0.0,0.0,0.0
9023142,25.0,4.0,4.0,3.0,1.0,2.0
9023143,43.0,10.0,4.0,4.0,0.0,2.0
9023154,12.0,3.0,4.0,1.0,0.0,6.0
9023158,35.0,3.0,1.0,1.0,0.0,1.0
9023165,10.0,13.0,7.0,3.0,1.0,1.0
9023189,18.0,2.0,0.0,1.0,0.0,0.0
9023190,13.0,4.0,1.0,0.0,0.0,0.0
9023210,26.0,4.0,3.0,3.0,1.0,2.0
9023224,26.0,3.0,1.0,0.0,0.0,1.0
9023238,52.0,10.0,8.0,1.0,0.0,1.0
9023249,44.0,3.0,3.0,1.0,0.0,0.0
9023250,24.0,2.0,1.0,1.0,0.0,0.0
9023256,93.0,7.0,0.0,2.0,0.0,0.0
9023270,25.0,5.0,3.0,2.0,2.0,1.0
9023278,100.0,13.0,8.0,0.0,0.0,2.0
9023296,11.0,6.0,1.0,0.0,0.0,0.0
9023304,56.0,12.0,1.0,1.0,0.0,0.0
9023309,79.0,13.0,4.0,0.0,0.0,1.0
9023312,18.0,1.0,0.0,1.0,0.0,0.0
9023320,63.0,8.0,5.0,0.0,0.0,8.0
9023321,27.0,3.0,5.0,4.0,3.0,11.0
9023329,15.0,2.0,5.0,0.0,1.0,0.0
9023345,19.0,1.0,2.0,1.0,0.0,0.0
9023346,19.0,1.0,2.0,1.0,0.0,0.0
9023352,15.0,3.0,5.0,0.0,1.0,0.0
9023370,56.0,14.0,5.0,2.0,1.0,1.0
9023374,26.0,2.0,1.0,0.0,1.0,0.0
9023381,67.0,8.0,2.0,1.0,0.0,0.0
9023387,18.0,1.0,2.0,1.0,0.0,0.0
9023391,15.0,5.0,3.0,0.0,1.0,0.0
9023392,19.0,6.0,3.0,0.0,1.0,0.0
9023394,52.0,2.0,0.0,1.0,0.0,0.0
9023398,12.0,2.0,3.0,2.0,2.0,2.0
9023417,40.0,5.0,3.0,1.0,0.0,0.0
9023422,74.0,7.0,2.0,0.0,1.0,1.0
9023424,13.0,2.0,1.0,1.0,0.0,0.0
9023426,20.0,1.0,1.0,1.0,0.0,7.0
9023441,19.0,6.0,5.0,3.0,1.0,0.0
9023442,20.0,9.0,11.0,2.0,1.0,0.0
9023453,77.0,10.0,6.0,1.0,0.0,0.0
9023462,28.0,2.0,1.0,1.0,0.0,0.0
9023463,35.0,6.0,2.0,0.0,0.0,0.0
9023468,18.0,1.0,2.0,1.0,0.0,0.0
9023470,45.0,4.0,2.0,0.0,1.0,1.0
9023471,18.0,1.0,0.0,1.0,0.0,0.0
9023477,75.0,13.0,6.0,0.0,1.0,7.0
9023481,47.0,16.0,6.0,1.0,0.0,0.0
9023482,42.0,3.0,3.0,0.0,2.0,11.0
9023501,12.0,3.0,1.0,0.0,0.0,0.0
9023507,0.0,0.0,0.0,0.0,0.0,0.0
9023508,7.0,1.0,0.0,0.0,0.0,0.0
9023529,44.0,3.0,1.0,2.0,0.0,0.0
9023530,37.0,2.0,3.0,1.0,1.0,0.0
9023531,34.0,0.0,1.0,2.0,4.0,4.0
9023552,39.0,12.0,11.0,8.0,6.0,9.0
9023553,59.0,4.0,0.0,0.0,3.0,13.0
9023569,43.0,3.0,1.0,1.0,1.0,0.0
9023575,60.0,4.0,2.0,1.0,1.0,0.0
9023580,83.0,2.0,1.0,0.0,0.0,0.0
9023581,12.0,1.0,1.0,0.0,0.0,0.0
9023582,14.0,5.0,4.0,4.0,1.0,1.0
9023588,24.0,9.0,5.0,4.0,0.0,0.0
9023597,12.0,4.0,2.0,0.0,1.0,0.0
9023612,23.0,6.0,5.0,2.0,0.0,0.0
9023615,57.0,5.0,2.0,1.0,0.0,1.0
9023616,81.0,6.0,3.0,0.0,0.0,1.0
9023624,12.0,7.0,0.0,2.0,0.0,6.0
9023625,35.0,6.0,4.0,0.0,1.0,7.0
9023632,69.0,4.0,2.0,0.0,1.0,0.0
9023633,18.0,9.0,2.0,1.0,0.0,0.0
9023634,34.0,7.0,2.0,3.0,0.0,0.0
9023649,30.0,1.0,0.0,1.0,0.0,0.0
9023654,29.0,4.0,0.0,1.0,0.0,0.0
9023659,37.0,8.0,4.0,8.0,2.0,4.0
9023684,23.0,2.0,1.0,1.0,0.0,0.0
9023685,12.0,4.0,1.0,0.0,1.0,0.0
9023686,16.0,2.0,7.0,2.0,1.0,0.0
9023691,11.0,6.0,3.0,0.0,1.0,7.0
9023694,42.0,6.0,2.0,0.0,2.0,0.0
9023709,23.0,1.0,0.0,1.0,1.0,6.0
9023716,34.0,0.0,2.0,1.0,2.0,13.0
9023743,5.0,0.0,4.0,2.0,4.0,22.0
9023746,8.0,2.0,0.0,0.0,0.0,0.0
9023765,35.0,10.0,5.0,5.0,4.0,5.0
9023766,6.0,1.0,0.0,2.0,1.0,5.0
9023769,60.0,6.0,7.0,1.0,2.0,0.0
9023794,6.0,0.0,0.0,0.0,0.0,0.0
9023798,37.0,0.0,2.0,0.0,0.0,0.0
9023799,39.0,1.0,2.0,0.0,0.0,0.0
9023807,10.0,4.0,4.0,0.0,0.0,8.0
9023808,27.0,11.0,19.0,9.0,6.0,4.0
9023812,3.0,0.0,0.0,0.0,0.0,0.0
9023813,40.0,8.0,7.0,0.0,1.0,0.0
9023815,45.0,3.0,1.0,0.0,0.0,0.0
9023816,57.0,9.0,1.0,0.0,1.0,1.0
9023817,38.0,3.0,1.0,0.0,0.0,0.0
9023818,34.0,10.0,9.0,5.0,0.0,1.0
9023821,18.0,3.0,0.0,0.0,0.0,4.0
9023822,50.0,6.0,3.0,0.0,1.0,1.0
9023823,113.0,7.0,3.0,0.0,0.0,0.0
9023831,29.0,8.0,3.0,1.0,0.0,0.0
9023833,14.0,7.0,4.0,1.0,0.0,0.0
