,RP_5,RP_10,RP_25,RP_100,RP_2,RP_50
9021733,3.0,1.0,0.0,0.0,5.0,1.0
9021738,0.0,0.0,1.0,1.0,3.0,0.0
9021769,0.0,0.0,0.0,0.0,0.0,1.0
9021779,0.0,1.0,0.0,1.0,0.0,0.0
9021780,1.0,1.0,1.0,0.0,9.0,0.0
9021783,1.0,0.0,1.0,0.0,4.0,0.0
9021808,1.0,1.0,0.0,1.0,6.0,0.0
9021830,10.0,7.0,1.0,2.0,23.0,2.0
9021843,0.0,0.0,0.0,0.0,1.0,0.0
9021881,1.0,2.0,0.0,0.0,1.0,0.0
9021901,0.0,2.0,1.0,0.0,1.0,0.0
9021902,0.0,0.0,0.0,1.0,5.0,0.0
9021913,0.0,0.0,0.0,5.0,2.0,0.0
9021914,0.0,0.0,0.0,0.0,2.0,0.0
9021926,0.0,1.0,0.0,0.0,1.0,0.0
9021927,0.0,0.0,0.0,2.0,2.0,0.0
9021956,1.0,1.0,0.0,1.0,9.0,0.0
9021963,0.0,0.0,0.0,0.0,0.0,0.0
9021970,0.0,0.0,0.0,0.0,2.0,0.0
9022001,1.0,1.0,0.0,0.0,2.0,0.0
9022006,0.0,0.0,0.0,0.0,5.0,1.0
9022009,0.0,2.0,0.0,0.0,2.0,0.0
9022024,1.0,1.0,0.0,0.0,7.0,0.0
9022030,1.0,1.0,0.0,0.0,1.0,0.0
9022031,1.0,0.0,0.0,0.0,4.0,0.0
9022038,0.0,0.0,1.0,0.0,1.0,0.0
9022041,1.0,0.0,1.0,0.0,2.0,1.0
9022043,4.0,2.0,0.0,1.0,22.0,0.0
9022046,0.0,2.0,0.0,0.0,1.0,0.0
9022047,1.0,0.0,1.0,0.0,6.0,0.0
9022055,1.0,1.0,1.0,0.0,5.0,1.0
9022064,0.0,0.0,0.0,0.0,3.0,1.0
9022068,3.0,0.0,0.0,3.0,11.0,0.0
9022069,2.0,1.0,1.0,1.0,10.0,1.0
9022076,0.0,0.0,0.0,0.0,1.0,1.0
9022078,1.0,0.0,1.0,0.0,6.0,0.0
9022081,0.0,0.0,0.0,0.0,2.0,1.0
9022114,1.0,0.0,0.0,1.0,4.0,0.0
9022128,0.0,1.0,0.0,0.0,1.0,0.0
9022137,0.0,0.0,1.0,1.0,1.0,0.0
9022139,1.0,0.0,0.0,2.0,0.0,0.0
9022167,1.0,0.0,0.0,0.0,11.0,0.0
9022170,3.0,0.0,1.0,4.0,7.0,0.0
9022173,0.0,0.0,0.0,0.0,0.0,0.0
9022185,2.0,3.0,0.0,0.0,7.0,1.0
9022227,1.0,0.0,0.0,3.0,4.0,1.0
9022233,0.0,0.0,0.0,0.0,1.0,0.0
9022258,2.0,0.0,0.0,0.0,2.0,0.0
9022273,1.0,2.0,0.0,3.0,9.0,0.0
9022275,0.0,0.0,1.0,0.0,8.0,0.0
9022281,1.0,1.0,0.0,0.0,3.0,1.0
9022282,0.0,1.0,0.0,0.0,9.0,0.0
9022290,1.0,1.0,0.0,0.0,2.0,0.0
9022298,0.0,0.0,0.0,2.0,3.0,1.0
9022304,0.0,0.0,0.0,5.0,5.0,0.0
9022305,0.0,1.0,0.0,0.0,4.0,0.0
9022306,0.0,1.0,0.0,0.0,7.0,0.0
9022308,1.0,2.0,0.0,2.0,10.0,1.0
9022324,1.0,1.0,0.0,1.0,10.0,0.0
9022327,5.0,4.0,1.0,0.0,2.0,0.0
9022328,0.0,0.0,0.0,0.0,2.0,1.0
9022336,2.0,0.0,0.0,0.0,2.0,0.0
9022366,1.0,0.0,0.0,4.0,8.0,2.0
9022372,0.0,1.0,0.0,0.0,0.0,0.0
9022382,4.0,1.0,1.0,4.0,15.0,0.0
9022383,3.0,2.0,2.0,2.0,15.0,0.0
9022410,1.0,1.0,0.0,0.0,6.0,0.0
9022414,0.0,1.0,0.0,4.0,6.0,0.0
9022426,1.0,0.0,0.0,0.0,7.0,0.0
9022427,1.0,0.0,0.0,0.0,4.0,0.0
9022468,0.0,0.0,0.0,0.0,5.0,0.0
9022469,0.0,1.0,0.0,0.0,7.0,0.0
9022479,0.0,1.0,0.0,0.0,3.0,0.0
9022480,10.0,1.0,1.0,1.0,27.0,1.0
9022510,0.0,1.0,0.0,0.0,1.0,0.0
9022511,0.0,1.0,0.0,0.0,7.0,0.0
9022512,0.0,0.0,0.0,0.0,6.0,0.0
9022517,3.0,0.0,0.0,4.0,5.0,0.0
9022534,0.0,1.0,0.0,1.0,5.0,0.0
9022535,1.0,0.0,0.0,0.0,4.0,0.0
9022551,1.0,1.0,0.0,0.0,8.0,1.0
9022552,1.0,0.0,0.0,0.0,7.0,0.0
9022557,2.0,1.0,0.0,0.0,7.0,0.0
9022565,1.0,1.0,0.0,0.0,6.0,0.0
9022569,1.0,1.0,1.0,0.0,7.0,0.0
9022581,1.0,0.0,0.0,0.0,3.0,0.0
9022593,1.0,2.0,0.0,0.0,5.0,0.0
9022613,0.0,1.0,0.0,0.0,2.0,0.0
9022626,2.0,1.0,0.0,0.0,6.0,0.0
9022665,1.0,1.0,1.0,1.0,6.0,0.0
9022666,1.0,0.0,0.0,0.0,8.0,0.0
9022672,2.0,1.0,0.0,0.0,0.0,0.0
9022675,0.0,0.0,0.0,0.0,1.0,0.0
9022676,1.0,0.0,0.0,0.0,2.0,0.0
9022690,0.0,0.0,0.0,1.0,5.0,0.0
9022694,1.0,0.0,0.0,0.0,6.0,0.0
9022698,0.0,1.0,0.0,0.0,4.0,0.0
