,RP_2,RP_5,RP_10,RP_25,RP_50,RP_100
9019828,5.0,1.0,1.0,1.0,1.0,2.0
9019864,3.0,0.0,1.0,0.0,0.0,0.0
9019981,0.0,0.0,0.0,0.0,0.0,0.0
9019982,0.0,0.0,0.0,0.0,0.0,0.0
9020005,10.0,3.0,4.0,1.0,2.0,1.0
9020015,2.0,1.0,0.0,0.0,0.0,0.0
9020032,1.0,8.0,0.0,1.0,0.0,3.0
9020123,4.0,3.0,0.0,0.0,0.0,0.0
9020126,0.0,0.0,0.0,0.0,0.0,0.0
9020173,4.0,1.0,1.0,0.0,0.0,0.0
9020258,1.0,0.0,0.0,0.0,0.0,0.0
9020260,1.0,0.0,0.0,0.0,0.0,0.0
9020312,1.0,0.0,0.0,0.0,0.0,0.0
9020319,1.0,2.0,0.0,0.0,0.0,0.0
9020332,0.0,0.0,0.0,0.0,0.0,0.0
9020344,8.0,0.0,0.0,0.0,3.0,1.0
9020357,2.0,0.0,1.0,0.0,0.0,0.0
9020411,1.0,0.0,0.0,0.0,0.0,0.0
9020412,0.0,1.0,0.0,0.0,0.0,0.0
9020496,0.0,0.0,0.0,0.0,0.0,0.0
9020508,5.0,1.0,1.0,0.0,0.0,0.0
9020518,0.0,0.0,0.0,0.0,0.0,0.0
9020565,0.0,0.0,0.0,0.0,0.0,0.0
9020617,0.0,0.0,0.0,0.0,0.0,0.0
9020680,3.0,0.0,0.0,0.0,0.0,0.0
9020705,0.0,0.0,0.0,0.0,0.0,0.0
9020714,1.0,1.0,0.0,0.0,0.0,0.0
9020720,2.0,0.0,1.0,1.0,0.0,0.0
9020721,0.0,0.0,0.0,0.0,0.0,0.0
9020722,0.0,0.0,0.0,0.0,0.0,0.0
9020728,0.0,0.0,0.0,0.0,0.0,0.0
9020731,0.0,0.0,0.0,0.0,0.0,0.0
9020756,2.0,1.0,0.0,0.0,0.0,0.0
9020797,2.0,0.0,0.0,0.0,0.0,0.0
9020803,0.0,0.0,2.0,0.0,0.0,0.0
9020835,2.0,1.0,1.0,1.0,0.0,0.0
9020855,5.0,0.0,0.0,0.0,1.0,3.0
9020874,2.0,0.0,0.0,0.0,0.0,0.0
9020876,0.0,0.0,0.0,0.0,0.0,0.0
9020899,0.0,0.0,0.0,0.0,0.0,0.0
9020907,1.0,0.0,0.0,0.0,0.0,0.0
9020924,0.0,0.0,0.0,0.0,0.0,0.0
9020934,3.0,0.0,0.0,0.0,0.0,0.0
9020941,1.0,0.0,0.0,0.0,0.0,0.0
9020974,14.0,3.0,0.0,0.0,0.0,0.0
9020993,1.0,0.0,0.0,0.0,0.0,0.0
9020995,0.0,0.0,0.0,2.0,1.0,5.0
9020997,0.0,0.0,0.0,0.0,0.0,0.0
9020998,10.0,1.0,1.0,0.0,0.0,0.0
9021002,2.0,0.0,0.0,0.0,0.0,0.0
9021003,2.0,1.0,1.0,0.0,0.0,0.0
9021012,1.0,0.0,0.0,0.0,1.0,7.0
9021015,4.0,1.0,0.0,0.0,0.0,0.0
9021041,1.0,2.0,0.0,2.0,1.0,2.0
9021045,2.0,4.0,0.0,0.0,0.0,0.0
9021049,0.0,0.0,0.0,0.0,0.0,0.0
9021058,0.0,1.0,0.0,0.0,0.0,0.0
9021062,1.0,0.0,0.0,0.0,0.0,0.0
9021064,1.0,0.0,0.0,0.0,0.0,6.0
9021081,1.0,0.0,0.0,0.0,0.0,0.0
9021088,3.0,0.0,0.0,0.0,0.0,0.0
9021152,2.0,0.0,0.0,0.0,0.0,0.0
9021163,0.0,0.0,0.0,0.0,0.0,0.0
9021168,1.0,0.0,0.0,0.0,0.0,0.0
9021173,2.0,0.0,0.0,0.0,0.0,0.0
9021174,1.0,0.0,0.0,0.0,0.0,0.0
9021183,0.0,0.0,0.0,0.0,0.0,0.0
9021184,0.0,0.0,0.0,0.0,0.0,0.0
9021186,5.0,1.0,1.0,0.0,0.0,0.0
9021191,1.0,0.0,1.0,0.0,0.0,0.0
9021212,0.0,0.0,0.0,0.0,0.0,0.0
9021217,1.0,0.0,0.0,0.0,0.0,0.0
9021223,6.0,1.0,0.0,0.0,0.0,0.0
9021236,0.0,0.0,0.0,0.0,0.0,0.0
9021237,3.0,3.0,0.0,0.0,0.0,0.0
9021289,0.0,0.0,0.0,0.0,0.0,0.0
9021326,0.0,0.0,0.0,0.0,0.0,0.0
9021329,0.0,0.0,0.0,0.0,0.0,0.0
9021332,0.0,1.0,1.0,0.0,0.0,0.0
9021342,0.0,0.0,0.0,0.0,0.0,0.0
9021343,0.0,0.0,0.0,0.0,0.0,0.0
9021352,1.0,0.0,0.0,0.0,0.0,0.0
9021365,1.0,0.0,0.0,0.0,0.0,0.0
9021378,3.0,0.0,1.0,0.0,0.0,1.0
9021414,4.0,2.0,1.0,0.0,0.0,0.0
9021459,2.0,2.0,2.0,1.0,0.0,0.0
9021465,0.0,0.0,0.0,0.0,0.0,0.0
9021467,0.0,0.0,1.0,1.0,0.0,0.0
9021468,1.0,0.0,0.0,0.0,0.0,0.0
9021469,1.0,0.0,0.0,0.0,0.0,0.0
9021479,4.0,1.0,0.0,0.0,0.0,0.0
9021481,5.0,0.0,0.0,0.0,0.0,0.0
9021489,1.0,3.0,0.0,0.0,1.0,0.0
9021493,6.0,0.0,0.0,0.0,0.0,0.0
9021496,0.0,0.0,0.0,0.0,0.0,0.0
9021498,0.0,0.0,0.0,0.0,0.0,0.0
9021507,0.0,0.0,0.0,0.0,0.0,0.0
9021511,1.0,3.0,3.0,0.0,0.0,0.0
9021527,0.0,0.0,0.0,0.0,0.0,0.0
9021534,2.0,2.0,0.0,1.0,0.0,0.0
9021582,0.0,0.0,0.0,0.0,0.0,0.0
9021585,5.0,1.0,0.0,0.0,0.0,0.0
9021641,3.0,2.0,3.0,0.0,0.0,0.0
9021642,0.0,0.0,0.0,0.0,0.0,0.0
9021643,0.0,0.0,0.0,0.0,0.0,0.0
9021644,0.0,0.0,0.0,0.0,0.0,0.0
9021681,0.0,1.0,2.0,0.0,1.0,0.0
9021688,0.0,0.0,0.0,0.0,0.0,0.0
9021692,3.0,3.0,0.0,0.0,0.0,0.0
9021696,0.0,0.0,0.0,0.0,0.0,0.0
9021701,2.0,1.0,0.0,0.0,0.0,0.0
9021712,12.0,0.0,0.0,0.0,0.0,0.0
9021713,7.0,1.0,0.0,0.0,0.0,4.0
9021733,3.0,1.0,0.0,0.0,0.0,0.0
9021738,0.0,1.0,1.0,0.0,0.0,0.0
9021769,0.0,0.0,0.0,0.0,2.0,0.0
9021779,2.0,0.0,2.0,0.0,0.0,0.0
9021780,3.0,0.0,0.0,0.0,0.0,0.0
9021783,1.0,0.0,0.0,0.0,0.0,0.0
9021808,13.0,1.0,0.0,0.0,0.0,0.0
9021830,17.0,3.0,2.0,1.0,1.0,1.0
9021843,1.0,0.0,0.0,0.0,0.0,0.0
9021881,0.0,0.0,0.0,0.0,0.0,0.0
9021901,0.0,0.0,0.0,0.0,0.0,0.0
9021902,7.0,0.0,0.0,0.0,0.0,0.0
9021913,1.0,0.0,0.0,0.0,0.0,4.0
9021914,1.0,0.0,0.0,0.0,0.0,0.0
9021926,0.0,0.0,0.0,0.0,0.0,0.0
9021927,1.0,0.0,0.0,0.0,0.0,0.0
9021956,4.0,1.0,1.0,0.0,0.0,0.0
9021963,1.0,1.0,1.0,0.0,0.0,0.0
9021970,2.0,0.0,0.0,0.0,0.0,0.0
9022001,0.0,0.0,0.0,0.0,0.0,0.0
9022006,3.0,0.0,0.0,0.0,0.0,0.0
9022009,0.0,0.0,0.0,0.0,0.0,0.0
9022024,4.0,0.0,0.0,0.0,0.0,0.0
9022030,0.0,0.0,0.0,0.0,0.0,0.0
9022031,2.0,2.0,1.0,0.0,0.0,0.0
9022038,4.0,0.0,0.0,0.0,0.0,0.0
9022041,2.0,0.0,0.0,0.0,0.0,0.0
9022043,15.0,5.0,3.0,0.0,0.0,1.0
9022046,0.0,0.0,0.0,0.0,0.0,0.0
9022047,3.0,0.0,0.0,0.0,0.0,0.0
9022055,4.0,0.0,0.0,0.0,0.0,0.0
9022064,1.0,1.0,0.0,0.0,0.0,0.0
9022068,8.0,1.0,0.0,0.0,2.0,2.0
9022069,5.0,0.0,0.0,1.0,2.0,1.0
9022076,1.0,1.0,0.0,0.0,0.0,0.0
9022078,3.0,0.0,0.0,0.0,0.0,0.0
9022081,2.0,0.0,0.0,0.0,0.0,0.0
9022114,3.0,0.0,0.0,0.0,0.0,0.0
9022128,0.0,0.0,0.0,0.0,0.0,0.0
9022137,0.0,0.0,0.0,0.0,0.0,0.0
9022139,2.0,1.0,0.0,0.0,0.0,0.0
9022167,12.0,0.0,0.0,0.0,0.0,0.0
9022170,7.0,1.0,0.0,0.0,0.0,4.0
9022173,7.0,0.0,0.0,0.0,0.0,0.0
9022185,5.0,1.0,2.0,0.0,2.0,1.0
9022227,0.0,3.0,0.0,3.0,0.0,0.0
9022233,3.0,0.0,2.0,0.0,0.0,0.0
9022258,3.0,1.0,3.0,0.0,0.0,0.0
9022273,10.0,2.0,2.0,0.0,0.0,1.0
9022275,2.0,1.0,1.0,0.0,0.0,1.0
9022281,3.0,0.0,0.0,0.0,0.0,0.0
9022282,3.0,0.0,1.0,0.0,1.0,0.0
9022290,3.0,2.0,1.0,0.0,0.0,0.0
9022298,2.0,1.0,1.0,0.0,0.0,0.0
9022304,4.0,1.0,0.0,0.0,0.0,4.0
9022305,6.0,1.0,2.0,0.0,1.0,1.0
9022306,2.0,0.0,1.0,1.0,0.0,0.0
9022308,8.0,0.0,2.0,1.0,0.0,1.0
9022324,1.0,2.0,1.0,1.0,1.0,1.0
9022327,2.0,3.0,1.0,0.0,0.0,0.0
9022328,1.0,0.0,0.0,0.0,0.0,0.0
9022336,3.0,2.0,0.0,0.0,0.0,0.0
9022366,6.0,0.0,0.0,0.0,0.0,4.0
9022372,0.0,0.0,0.0,0.0,0.0,0.0
9022382,12.0,1.0,2.0,1.0,1.0,2.0
9022383,13.0,0.0,1.0,2.0,1.0,1.0
9022410,2.0,0.0,0.0,0.0,0.0,0.0
9022414,3.0,1.0,1.0,0.0,2.0,0.0
9022426,2.0,0.0,0.0,0.0,0.0,0.0
9022427,0.0,0.0,0.0,0.0,0.0,0.0
9022468,4.0,1.0,0.0,0.0,0.0,0.0
9022469,3.0,1.0,0.0,1.0,0.0,0.0
9022479,1.0,0.0,0.0,0.0,0.0,0.0
9022480,16.0,3.0,1.0,1.0,1.0,0.0
9022510,0.0,0.0,0.0,0.0,0.0,0.0
9022511,2.0,2.0,0.0,1.0,0.0,0.0
9022512,4.0,1.0,0.0,0.0,0.0,0.0
9022517,2.0,0.0,1.0,0.0,1.0,3.0
9022534,3.0,0.0,1.0,0.0,0.0,0.0
9022535,0.0,0.0,0.0,0.0,0.0,0.0
9022551,3.0,1.0,1.0,1.0,1.0,1.0
9022552,4.0,2.0,0.0,0.0,0.0,0.0
9022557,5.0,1.0,2.0,0.0,1.0,0.0
9022565,4.0,3.0,1.0,0.0,1.0,0.0
9022569,5.0,1.0,0.0,1.0,2.0,0.0
9022581,0.0,0.0,0.0,0.0,0.0,0.0
9022593,4.0,1.0,1.0,2.0,0.0,0.0
9022613,0.0,0.0,0.0,0.0,0.0,0.0
9022626,4.0,1.0,1.0,2.0,0.0,0.0
9022665,6.0,0.0,1.0,0.0,0.0,0.0
9022666,4.0,2.0,0.0,1.0,0.0,0.0
9022672,1.0,1.0,0.0,0.0,0.0,0.0
9022675,0.0,0.0,0.0,0.0,0.0,0.0
9022676,0.0,0.0,0.0,0.0,0.0,0.0
9022690,5.0,0.0,1.0,0.0,0.0,2.0
9022694,1.0,1.0,2.0,0.0,0.0,0.0
9022698,6.0,1.0,1.0,1.0,1.0,0.0
9022703,1.0,1.0,2.0,0.0,0.0,0.0
9022710,2.0,1.0,2.0,1.0,0.0,0.0
9022714,3.0,0.0,0.0,0.0,0.0,0.0
9022715,4.0,1.0,2.0,0.0,0.0,0.0
9022716,9.0,0.0,0.0,0.0,0.0,0.0
9022718,1.0,1.0,2.0,0.0,0.0,0.0
9022728,1.0,1.0,2.0,0.0,0.0,0.0
9022730,3.0,0.0,0.0,0.0,0.0,0.0
9022731,2.0,1.0,4.0,0.0,0.0,0.0
9022732,3.0,0.0,0.0,0.0,0.0,0.0
9022733,4.0,1.0,0.0,0.0,0.0,0.0
9022742,0.0,1.0,1.0,0.0,0.0,0.0
9022747,2.0,0.0,0.0,0.0,0.0,0.0
9022755,1.0,0.0,0.0,0.0,0.0,0.0
9022772,8.0,1.0,0.0,1.0,2.0,1.0
9022775,3.0,2.0,2.0,0.0,0.0,0.0
9022776,7.0,1.0,1.0,1.0,1.0,0.0
9022777,7.0,1.0,0.0,0.0,0.0,0.0
9022778,2.0,2.0,2.0,0.0,0.0,0.0
9022787,13.0,3.0,0.0,1.0,0.0,0.0
9022789,1.0,0.0,2.0,0.0,0.0,0.0
9022790,1.0,0.0,0.0,0.0,0.0,0.0
9022791,0.0,2.0,2.0,0.0,0.0,0.0
9022801,10.0,2.0,2.0,1.0,1.0,1.0
9022808,2.0,0.0,1.0,1.0,0.0,0.0
9022809,12.0,3.0,0.0,0.0,0.0,0.0
9022819,0.0,3.0,1.0,0.0,0.0,0.0
9022821,1.0,1.0,0.0,0.0,0.0,0.0
9022832,4.0,0.0,0.0,0.0,0.0,0.0
9022833,4.0,0.0,1.0,1.0,0.0,0.0
9022838,0.0,0.0,0.0,0.0,0.0,0.0
9022843,2.0,2.0,0.0,1.0,0.0,0.0
9022847,1.0,0.0,0.0,0.0,0.0,0.0
9022856,9.0,2.0,2.0,2.0,0.0,1.0
9022859,5.0,1.0,2.0,1.0,0.0,0.0
9022861,2.0,1.0,2.0,2.0,0.0,1.0
9022868,2.0,0.0,0.0,0.0,0.0,0.0
9022869,2.0,0.0,0.0,0.0,0.0,0.0
9022876,0.0,0.0,0.0,0.0,0.0,0.0
9022897,5.0,0.0,0.0,0.0,0.0,3.0
9022900,0.0,0.0,0.0,0.0,0.0,0.0
9022907,0.0,0.0,0.0,0.0,0.0,0.0
9022910,18.0,1.0,1.0,0.0,0.0,0.0
9022926,4.0,1.0,0.0,0.0,0.0,0.0
9022935,2.0,1.0,1.0,0.0,0.0,0.0
9022936,4.0,1.0,0.0,0.0,1.0,1.0
9022937,13.0,2.0,0.0,0.0,0.0,0.0
9022945,7.0,1.0,1.0,1.0,0.0,1.0
9022946,6.0,2.0,1.0,2.0,0.0,0.0
9022951,0.0,0.0,0.0,0.0,0.0,0.0
9022965,4.0,1.0,1.0,0.0,0.0,0.0
9022970,2.0,0.0,0.0,0.0,0.0,0.0
9022977,2.0,0.0,0.0,0.0,0.0,0.0
9022981,0.0,0.0,0.0,0.0,0.0,0.0
9022986,7.0,2.0,0.0,1.0,0.0,1.0
9022991,17.0,2.0,2.0,0.0,0.0,5.0
9023002,0.0,3.0,1.0,0.0,0.0,0.0
9023004,6.0,1.0,0.0,0.0,0.0,0.0
9023017,4.0,0.0,1.0,1.0,0.0,0.0
9023025,1.0,0.0,0.0,0.0,0.0,0.0
9023026,0.0,0.0,0.0,0.0,0.0,0.0
9023037,4.0,1.0,0.0,0.0,0.0,0.0
9023038,6.0,1.0,0.0,0.0,0.0,0.0
9023065,0.0,0.0,0.0,0.0,0.0,0.0
9023068,0.0,2.0,0.0,2.0,0.0,0.0
9023072,0.0,0.0,0.0,0.0,0.0,0.0
9023082,4.0,2.0,0.0,2.0,0.0,3.0
9023083,13.0,1.0,3.0,2.0,0.0,0.0
9023089,2.0,1.0,1.0,0.0,0.0,0.0
9023092,6.0,0.0,0.0,0.0,0.0,0.0
9023095,0.0,0.0,0.0,0.0,0.0,0.0
9023099,5.0,0.0,0.0,1.0,1.0,0.0
9023105,8.0,0.0,0.0,0.0,0.0,0.0
9023111,0.0,0.0,0.0,0.0,0.0,0.0
9023119,2.0,2.0,0.0,1.0,0.0,0.0
9023122,0.0,0.0,0.0,0.0,0.0,0.0
9023123,1.0,0.0,0.0,0.0,0.0,0.0
9023137,1.0,0.0,0.0,0.0,0.0,0.0
9023142,7.0,0.0,2.0,2.0,0.0,0.0
9023143,13.0,2.0,3.0,0.0,0.0,1.0
9023154,1.0,1.0,1.0,0.0,0.0,0.0
9023158,5.0,0.0,0.0,0.0,0.0,0.0
9023165,2.0,5.0,0.0,2.0,0.0,0.0
9023189,0.0,0.0,0.0,0.0,0.0,0.0
9023190,1.0,3.0,1.0,0.0,0.0,0.0
9023210,7.0,0.0,2.0,2.0,0.0,0.0
9023224,4.0,0.0,0.0,0.0,0.0,0.0
9023238,10.0,2.0,2.0,0.0,0.0,1.0
9023249,1.0,0.0,0.0,0.0,0.0,0.0
9023250,1.0,0.0,0.0,0.0,0.0,0.0
9023256,7.0,0.0,0.0,0.0,0.0,0.0
9023270,6.0,1.0,1.0,2.0,0.0,0.0
9023278,8.0,1.0,1.0,0.0,0.0,0.0
9023296,3.0,1.0,1.0,0.0,0.0,0.0
9023304,12.0,4.0,1.0,1.0,0.0,0.0
9023309,6.0,2.0,1.0,0.0,0.0,0.0
9023312,1.0,0.0,0.0,0.0,0.0,0.0
9023320,8.0,3.0,0.0,0.0,0.0,0.0
9023321,4.0,2.0,1.0,1.0,1.0,2.0
9023329,3.0,1.0,2.0,0.0,0.0,0.0
9023345,1.0,1.0,1.0,1.0,0.0,0.0
9023346,1.0,1.0,1.0,1.0,0.0,0.0
9023352,3.0,1.0,2.0,0.0,0.0,0.0
9023370,4.0,2.0,0.0,0.0,0.0,0.0
9023374,4.0,0.0,0.0,0.0,0.0,0.0
9023381,6.0,1.0,0.0,0.0,0.0,0.0
9023387,1.0,0.0,1.0,1.0,0.0,0.0
9023391,3.0,1.0,2.0,0.0,0.0,0.0
9023392,4.0,1.0,2.0,0.0,0.0,0.0
9023394,11.0,1.0,0.0,1.0,0.0,0.0
9023398,5.0,0.0,0.0,1.0,1.0,0.0
9023417,10.0,1.0,1.0,1.0,0.0,0.0
9023422,6.0,1.0,0.0,0.0,0.0,0.0
9023424,0.0,0.0,0.0,0.0,0.0,0.0
9023426,0.0,0.0,0.0,0.0,0.0,1.0
9023441,6.0,0.0,0.0,1.0,1.0,0.0
9023442,5.0,0.0,0.0,1.0,1.0,0.0
9023453,23.0,3.0,2.0,0.0,0.0,0.0
9023462,1.0,0.0,0.0,0.0,0.0,0.0
9023463,6.0,1.0,0.0,0.0,0.0,0.0
9023468,1.0,0.0,1.0,1.0,0.0,0.0
9023470,2.0,0.0,0.0,0.0,0.0,0.0
9023471,1.0,0.0,0.0,0.0,0.0,0.0
9023477,9.0,1.0,1.0,0.0,1.0,0.0
9023481,4.0,2.0,0.0,0.0,0.0,0.0
9023482,5.0,0.0,1.0,0.0,1.0,1.0
9023501,2.0,2.0,1.0,0.0,0.0,0.0
9023507,0.0,0.0,0.0,0.0,0.0,0.0
9023508,2.0,1.0,0.0,0.0,0.0,0.0
9023529,1.0,0.0,0.0,0.0,0.0,0.0
9023530,1.0,0.0,0.0,0.0,0.0,0.0
9023531,7.0,0.0,0.0,1.0,2.0,0.0
9023552,2.0,0.0,1.0,3.0,0.0,0.0
9023553,4.0,1.0,0.0,0.0,0.0,2.0
9023569,2.0,0.0,0.0,0.0,0.0,0.0
9023575,2.0,0.0,0.0,0.0,0.0,0.0
9023580,25.0,0.0,0.0,0.0,0.0,0.0
