,RP_2,RP_5,RP_10,RP_100,RP_50,RP_25
9019828,6.0,3.0,1.0,2.0,0.0,0.0
9019864,9.0,0.0,4.0,0.0,0.0,0.0
9019981,0.0,0.0,0.0,0.0,0.0,0.0
9019982,0.0,0.0,0.0,0.0,0.0,0.0
9020005,7.0,4.0,3.0,1.0,1.0,0.0
9020015,2.0,0.0,1.0,0.0,0.0,0.0
9020032,4.0,3.0,4.0,3.0,0.0,0.0
9020123,3.0,2.0,1.0,0.0,0.0,0.0
9020126,0.0,0.0,0.0,0.0,0.0,0.0
9020173,4.0,2.0,1.0,0.0,0.0,1.0
9020258,0.0,0.0,1.0,0.0,0.0,0.0
9020260,1.0,0.0,0.0,0.0,1.0,0.0
9020312,0.0,0.0,1.0,0.0,0.0,0.0
9020319,5.0,2.0,0.0,0.0,0.0,1.0
9020332,0.0,0.0,0.0,0.0,0.0,1.0
9020344,5.0,1.0,3.0,1.0,1.0,0.0
9020357,3.0,1.0,0.0,0.0,1.0,0.0
9020411,2.0,0.0,0.0,0.0,0.0,1.0
9020412,2.0,0.0,0.0,0.0,1.0,0.0
9020496,1.0,0.0,1.0,0.0,0.0,0.0
9020508,4.0,1.0,1.0,0.0,1.0,0.0
9020518,0.0,0.0,0.0,0.0,0.0,0.0
9020565,1.0,0.0,1.0,0.0,0.0,0.0
9020617,0.0,0.0,1.0,0.0,0.0,0.0
9020680,3.0,1.0,1.0,0.0,1.0,0.0
9020705,0.0,0.0,0.0,0.0,0.0,0.0
9020714,0.0,0.0,1.0,0.0,0.0,1.0
9020720,2.0,4.0,0.0,1.0,0.0,1.0
9020721,1.0,0.0,0.0,0.0,0.0,1.0
9020722,0.0,0.0,0.0,0.0,0.0,0.0
9020728,0.0,0.0,0.0,0.0,0.0,0.0
9020731,2.0,0.0,0.0,0.0,0.0,1.0
9020756,1.0,0.0,1.0,1.0,0.0,0.0
9020797,1.0,0.0,0.0,0.0,0.0,2.0
9020803,0.0,1.0,1.0,2.0,0.0,0.0
9020835,4.0,3.0,1.0,1.0,0.0,1.0
9020855,8.0,2.0,3.0,3.0,0.0,1.0
9020874,3.0,1.0,1.0,1.0,0.0,0.0
9020876,4.0,0.0,0.0,0.0,0.0,1.0
9020899,3.0,2.0,1.0,0.0,0.0,0.0
9020907,5.0,0.0,1.0,0.0,0.0,1.0
9020924,0.0,1.0,0.0,0.0,0.0,0.0
9020934,3.0,0.0,1.0,0.0,0.0,1.0
9020941,3.0,0.0,0.0,0.0,1.0,0.0
9020974,14.0,1.0,1.0,1.0,1.0,0.0
9020993,1.0,1.0,1.0,1.0,0.0,0.0
9020995,1.0,0.0,0.0,4.0,0.0,1.0
9020997,2.0,0.0,1.0,0.0,0.0,0.0
9020998,9.0,1.0,1.0,1.0,1.0,0.0
9021002,1.0,0.0,1.0,0.0,0.0,0.0
9021003,3.0,0.0,0.0,0.0,1.0,0.0
9021012,0.0,0.0,1.0,4.0,0.0,0.0
9021015,2.0,2.0,1.0,0.0,0.0,1.0
9021041,1.0,0.0,1.0,1.0,1.0,1.0
9021045,0.0,1.0,0.0,1.0,0.0,0.0
9021049,7.0,0.0,1.0,0.0,0.0,1.0
9021058,4.0,0.0,1.0,0.0,1.0,0.0
9021062,1.0,0.0,0.0,1.0,0.0,1.0
9021064,3.0,0.0,0.0,5.0,0.0,0.0
9021081,3.0,0.0,2.0,2.0,0.0,0.0
9021088,2.0,0.0,0.0,0.0,0.0,1.0
