,RP_2,RP_25,RP_50,RP_100,RP_5,RP_10
9019828,3.0,1.0,1.0,3.0,0.0,0.0
9019864,4.0,0.0,0.0,0.0,1.0,1.0
9019981,0.0,0.0,0.0,0.0,0.0,0.0
9019982,0.0,0.0,0.0,0.0,0.0,0.0
9020005,2.0,2.0,0.0,3.0,6.0,2.0
9020015,3.0,0.0,0.0,0.0,1.0,0.0
9020032,2.0,1.0,1.0,3.0,0.0,0.0
9020123,7.0,0.0,0.0,0.0,1.0,3.0
9020126,0.0,0.0,0.0,0.0,0.0,0.0
9020173,6.0,0.0,0.0,0.0,3.0,1.0
9020258,2.0,0.0,0.0,0.0,0.0,0.0
9020260,2.0,0.0,0.0,0.0,0.0,0.0
9020312,1.0,0.0,0.0,0.0,0.0,0.0
9020319,3.0,0.0,0.0,0.0,1.0,0.0
9020332,1.0,0.0,0.0,0.0,0.0,0.0
9020344,1.0,0.0,3.0,1.0,0.0,1.0
9020357,5.0,0.0,0.0,0.0,1.0,0.0
9020411,4.0,0.0,0.0,0.0,0.0,0.0
9020412,3.0,0.0,0.0,0.0,0.0,0.0
9020496,2.0,0.0,0.0,0.0,0.0,0.0
9020508,4.0,0.0,0.0,0.0,3.0,1.0
9020518,0.0,0.0,0.0,0.0,0.0,0.0
9020565,2.0,0.0,0.0,0.0,0.0,0.0
9020617,0.0,0.0,0.0,0.0,0.0,0.0
9020680,2.0,0.0,0.0,0.0,0.0,1.0
9020705,0.0,0.0,0.0,0.0,0.0,0.0
9020714,4.0,0.0,0.0,0.0,1.0,1.0
9020720,2.0,1.0,0.0,0.0,3.0,4.0
9020721,2.0,0.0,0.0,0.0,0.0,0.0
9020722,0.0,0.0,0.0,0.0,0.0,0.0
9020728,0.0,0.0,0.0,0.0,0.0,0.0
9020731,1.0,0.0,0.0,0.0,0.0,0.0
9020756,5.0,0.0,0.0,0.0,0.0,0.0
9020797,5.0,1.0,0.0,0.0,0.0,0.0
9020803,1.0,0.0,0.0,0.0,0.0,0.0
9020835,3.0,1.0,0.0,0.0,3.0,4.0
9020855,4.0,1.0,1.0,1.0,8.0,3.0
9020874,4.0,0.0,0.0,0.0,0.0,1.0
9020876,0.0,0.0,0.0,0.0,0.0,0.0
9020899,3.0,1.0,0.0,0.0,2.0,1.0
9020907,1.0,1.0,2.0,0.0,1.0,3.0
9020924,3.0,0.0,0.0,0.0,0.0,0.0
9020934,2.0,0.0,0.0,0.0,0.0,1.0
9020941,4.0,0.0,0.0,0.0,0.0,2.0
9020974,8.0,2.0,0.0,0.0,3.0,4.0
9020993,3.0,1.0,0.0,0.0,0.0,0.0
9020995,2.0,2.0,1.0,6.0,0.0,0.0
9020997,2.0,0.0,0.0,0.0,0.0,0.0
9020998,5.0,1.0,1.0,1.0,3.0,3.0
9021002,3.0,0.0,0.0,0.0,2.0,0.0
9021003,6.0,0.0,0.0,0.0,1.0,0.0
9021012,1.0,0.0,0.0,7.0,0.0,1.0
9021015,3.0,1.0,1.0,0.0,3.0,0.0
9021041,4.0,2.0,1.0,1.0,0.0,3.0
9021045,10.0,0.0,0.0,0.0,0.0,0.0
9021049,1.0,0.0,2.0,0.0,1.0,2.0
9021058,2.0,0.0,0.0,0.0,0.0,0.0
