country,comid,latitude,longitude,alert
col,9009866,5.048213002,-70.97877621,R0
col,9009858,5.050625004,-70.97020834,R2
col,9009888,5.0476312,-70.40627212,R0
col,9009887,5.050309813,-70.44641555,R0
col,9010146,5.083073966,-70.49663762,R0
col,9009991,5.130222992,-70.54926013,R0
col,9010394,4.834785999,-70.79288239,R0
col,9010395,4.814916408,-70.75932345,R0
col,9010616,4.721230658,-70.47337097,R0
col,9010605,4.752589889,-70.58170774,R0
col,9010342,4.850946472,-70.40625169,R0
col,9010341,4.865773735,-70.5106961,R0
col,9010617,4.795906125,-70.31344824,R0
col,9010356,4.86193278,-70.29981611,R0
col,9010576,4.752175122,-70.97250695,R0
col,9010487,4.772586554,-71.01050214,R0
col,9010477,4.781632876,-70.96859303,R0
col,9010446,4.793319942,-70.96074263,R0
col,9003937,8.096241626,-72.56650874,R2
col,9003820,8.150817297,-72.49821968,R0
col,9003589,8.304909869,-72.47660749,R2
col,9004153,7.895217534,-72.57899935,R5
col,9004105,7.95915881,-72.59269545,R2
col,9003626,8.227979529,-72.38713856,R0
col,9003971,8.092618196,-72.41271403,R0
col,9003668,8.191927539,-72.38139571,R0
col,9004505,7.810320902,-72.52450251,R0
col,9008223,5.763427572,-72.89339305,R50
col,9008234,5.774105427,-72.98105335,R100
col,9014236,3.330449833,-76.31947958,R0
col,9014121,3.369170266,-76.34049403,R0
col,9014106,3.375419923,-76.44576992,R0
col,9014004,3.392994356,-76.42891177,R0
col,9013840,3.453721329,-76.37230594,R0
col,9013978,3.435104587,-76.45528949,R0
col,9014198,3.331425249,-76.45103598,R0
col,9010597,4.74660904,-75.84811925,R0
col,9010981,4.653917335,-75.84815836,R0
col,9010656,4.727555422,-75.9875551,R100
col,9010530,4.761666671,-75.97750001,R0
col,9007196,6.279536069,-71.20951098,R0
col,9007426,6.178378236,-71.64679675,R0
col,9007332,6.208168223,-71.59499777,R0
col,9007444,6.157791933,-71.57581588,R0
col,9007543,6.155992619,-71.24958644,R0
col,9007433,6.146548991,-71.91636645,R2
col,9007451,6.147188623,-71.98675876,R0
col,9007590,6.085608327,-69.90324485,R0
col,9007302,6.211611824,-70.09505733,R0
col,9007293,6.233274157,-70.09782948,R0
col,9007240,6.248622978,-71.14108688,R2
col,9007506,6.13191714,-70.31958131,R0
col,9007499,6.150693309,-70.27437365,R0
col,9007597,6.089997888,-70.504412,R0
col,9007508,6.128019984,-70.79163327,R0
col,9007495,6.108363735,-70.67423519,R0
col,9007505,6.103193324,-70.64389395,R0
col,9007626,6.054315406,-70.93863286,R0
col,9007583,6.073864369,-71.07223188,R0
col,9007907,5.91349687,-71.49747152,R0
col,9007828,5.947488376,-71.39830406,R0
col,9007807,5.962803913,-71.45691767,R0
col,9007824,5.964815257,-71.57059965,R0
col,9007692,6.018495864,-71.32982321,R0
col,9007645,6.070137521,-71.45019199,R0
col,9007953,5.87524628,-71.51434133,R0
col,9007880,5.93709444,-71.91656706,R0
col,9008061,5.847406688,-71.70294557,R0
col,9007968,5.900317393,-71.80105739,R0
col,9007962,5.9305978,-71.78105613,R0
col,9007673,6.032618869,-71.80202107,R0
col,9007620,6.046456256,-71.74740889,R0
col,9002301,9.150918892,-74.30033925,R0
col,9002244,9.186198069,-74.29430702,R0
col,9024196,-0.21443897,-70.01244401,R0
col,9024103,-0.198958327,-70.03041668,R2
col,9037439,-3.827275908,-70.39727726,R0
col,9006168,6.809583336,-69.79291668,R0
col,9020262,1.129500897,-66.86680599,R0
col,9006250,6.790446826,-69.82959303,R0
col,9021989,0.501194424,-69.61425982,R0
col,9007314,6.26805649,-69.50770787,R0
col,9020583,1.034012446,-67.196633,R0
col,9020584,1.010868504,-67.11836288,R0
col,9022439,0.367515079,-69.85159454,R0
col,9022438,0.339236729,-69.8680992,R0
col,9021932,0.564248103,-69.61043972,R0
col,9007187,6.290701503,-69.44466334,R0
col,9006080,6.884589415,-69.88123241,R0
col,9006256,6.816568622,-69.94371735,R0
col,9006261,6.776023109,-69.88607144,R0
col,9006167,6.835598233,-69.82530371,R0
col,9020509,1.02950657,-67.0512716,R0
col,9020665,1.002330587,-69.18182356,R0
col,9006102,6.849712252,-69.8931878,R0
col,9015419,2.850327982,-67.73147853,R0
col,9038324,-4.01309373,-69.70943425,R0
col,9015417,2.837916671,-67.74875001,R0
col,9038844,-4.153912392,-70.0135607,R0
col,9019791,1.287061128,-66.87355341,R0
col,9037951,-3.933327919,-70.56410211,R0
col,9015418,2.837860089,-67.74193419,R0
col,9037990,-3.94376214,-69.82721958,R0
col,9015416,2.863617281,-67.78434099,R0
col,9018467,1.775331125,-66.99887435,R0
col,9039704,-4.304373631,-70.06607571,R0
col,9039785,-4.371731775,-70.04998903,R0
col,9015760,2.806044044,-67.5499432,R0
col,9039300,-4.222502861,-70.14089514,R0
col,9020047,1.21378917,-66.85428659,R0
col,9039636,-4.270232025,-69.79912232,R0
col,9021829,0.557066992,-69.46269567,R0
col,9021798,0.563196118,-69.80037977,R0
col,9007227,6.287894624,-68.50763045,R0
col,9007165,6.30970475,-69.29888746,R0
col,9022004,0.498481591,-69.62538606,R0
col,9007268,6.246173232,-67.30476496,R2
col,9022005,0.502019455,-69.07797988,R0
col,9037998,-3.936177898,-70.35614673,R0
col,9039062,-4.170372276,-69.87289196,R0
col,9039063,-4.179827302,-69.82442171,R0
col,9022810,0.241581207,-69.97242406,R0
col,9022634,0.334551652,-69.97169237,R0
col,9022639,0.267428517,-69.97110703,R0
col,9007648,6.041767175,-67.30096196,R0
col,9024481,-0.293726811,-75.05159966,R0
col,9024491,-0.224848033,-75.0195914,R0
col,9024498,-0.310039233,-74.95191463,R0
col,9024601,-0.323429207,-69.79801052,R0
col,9024602,-0.346597712,-69.77922336,R2
col,9024997,-0.41729521,-69.59228605,R0
col,9024998,-0.459718098,-69.53071854,R0
col,9024726,-0.367375334,-69.78287726,R0
col,9020432,1.047056565,-67.06414123,R0
col,9020302,1.115577025,-67.22738956,R0
col,9006578,6.631717363,-69.62918545,R0
col,9021051,0.813197416,-68.97853221,R0
col,9006689,6.537083336,-69.75875001,R0
col,9026016,-0.768717672,-74.50236937,R0
col,9026267,-0.879443768,-69.51330279,R0
col,9026166,-0.818261298,-74.4433287,R0
col,9026234,-0.853769991,-74.4153635,R0
col,9025268,-0.514863013,-69.57381994,R0
col,9025299,-0.56337705,-69.54994615,R0
col,9025298,-0.562499994,-69.57083334,R0
col,9025399,-0.585208561,-69.55416256,R0
col,9034813,-3.199056073,-70.4575324,R0
col,9034817,-3.186494595,-70.34771054,R0
col,9034838,-3.20278636,-70.41511383,R0
col,9012819,3.854299157,-67.64492424,R0
col,9035015,-3.254960894,-69.64977894,R0
col,9035123,-3.238563355,-70.54729927,R0
col,9035163,-3.294113477,-70.56726387,R0
col,9012605,3.954319726,-67.51755924,R0
col,9009506,5.200927883,-67.82143842,R0
col,9009062,5.447361802,-67.5341505,R0
col,9009067,5.430916293,-67.60461936,R0
col,9013049,3.752342629,-67.59675359,R0
col,9012840,3.836811341,-67.62626942,R0
col,9013042,3.795512316,-67.6312213,R0
col,9012287,4.062083337,-67.69625001,R0
col,9009306,5.312772662,-67.83933678,R0
col,9024197,-0.215349385,-69.9896478,R0
col,9021399,0.693001888,-69.13501749,R0
col,9021543,0.665125564,-69.09099063,R0
col,9012228,4.083379479,-67.68107102,R0
col,9021629,0.639740505,-69.17412525,R0
col,9021646,0.621788417,-69.28828439,R0
col,9022179,0.515027716,-69.14956188,R0
col,9026026,-0.78359315,-74.54097525,R0
col,9011348,4.429375004,-67.77604168,R0
col,9012214,4.149273738,-67.74790227,R0
col,9012227,4.080137557,-67.71275718,R0
col,9034767,-3.157981057,-70.44130739,R0
col,9012243,4.076253756,-67.71516354,R0
col,9011746,4.328764691,-67.73155325,R0
col,9011902,4.264580501,-67.78969129,R0
col,9011639,4.318125004,-67.79270834,R0
col,9030308,-1.954569501,-73.26517735,R0
col,9030065,-1.888195561,-73.54248803,R0
col,9029957,-1.907444622,-73.34023734,R0
col,9010555,4.842972498,-67.7288545,R0
col,9030970,-2.176809997,-69.43939489,R0
col,9010601,4.744106761,-67.65183333,R0
col,9030307,-1.976430464,-73.38445266,R0
col,9017652,2.050815971,-66.98540885,R0
col,9029629,-1.825405323,-73.59363267,R0
col,9026673,-0.977430883,-69.43172362,R0
col,9026686,-0.974454077,-69.46413201,R0
col,9028649,-1.535274749,-69.4393535,R0
col,9029933,-1.890525314,-73.32065521,R0
col,9029646,-1.817985978,-69.44880058,R0
col,9029551,-1.798710657,-73.45904589,R0
col,9029624,-1.788290299,-73.63476586,R0
col,9020314,1.079142973,-69.57271203,R0
col,9020315,1.086982446,-69.56085698,R0
col,9020195,1.118044368,-69.69700766,R0
col,9020199,1.136159643,-69.76796929,R0
col,9020209,1.11380728,-69.72221166,R0
col,9030878,-2.163907985,-69.4927575,R0
col,9010137,4.979626334,-67.63653086,R0
col,9028734,-1.589357052,-69.32198962,R0
col,9029077,-1.636991009,-69.36055263,R0
col,9020320,1.088250782,-69.65846474,R0
col,9031055,-2.079825095,-69.37682965,R0
col,9010991,4.612518167,-67.68647844,R0
col,9030874,-2.125309568,-69.55641298,R0
col,9024680,-0.309975516,-69.9126635,R0
col,9024725,-0.377530933,-69.80403617,R0
col,9024675,-0.281003868,-69.66062974,R0
col,9024676,-0.356888023,-69.59259683,R0
col,9006214,6.795957566,-69.7424205,R0
col,9020263,1.130275376,-66.85368258,R0
col,9005847,7.003513299,-70.44707277,R0
col,9020146,1.159389692,-66.73008601,R0
col,9005773,7.01525576,-70.07628446,R0
col,9005774,7.024579728,-69.88129342,R0
col,9005402,7.337461092,-77.85242001,R0
col,9020431,1.042079717,-67.07842838,R0
col,9028728,-1.588749994,-69.34583334,R0
col,9029573,-1.777225687,-69.47651386,R0
col,9028819,-1.600797039,-69.28703263,R0
col,9028846,-1.569664724,-73.60113039,R0
col,9029479,-1.785536389,-73.47020217,R0
